CLAVEESTAB,n_AUH
0055PP0029,210
0030PP0024,210
0055PP0015,210
4100PP3733,210
0061PP0001,210
0111PP0066,209
0001PP0005,208
4030PP0163,208
0069PP0092,208
0047PP0026,208
4071PP3750,208
0116PP0003,208
0013PP0010,208
0124PP0007,208
0125PP0001,207
4116PP1705,207
4071PP2571,207
0099PP0025,207
4083PP1242,207
0005PP0016,207
3043PP1612,207
0062PP0001,207
4073PP5106,206
0081PP0010,206
0070PP0002,206
0001PP0102,205
0085PP0075,205
4069PP5982,205
0085PP0077,205
0063PP0031,205
0131PP0039,204
0083PP0018,204
0069PP0028,204
0069PP0117,204
0030PP0033,204
0119PP0013,204
0085PP0031,204
0085PP0056,204
0119PP0027,204
4069PP5610,204
0136PP0019,204
0119PP0035,204
0062PP0079,203
0131PP0002,203
0135PP0029,203
0098PP0001,203
4005PP0098,203
0079PP0002,203
0123PP0013,202
0085PP0069,202
0032PP0065,202
0010PP0003,202
0119PP0046,202
4096PP0520,202
0059PP0002,202
0069PP0132,202
0111PP0019,201
0001PP0012,201
0069PP0009,201
0135PP0003,201
3043PP1610,201
0004PP0012,200
0001PP0024,200
0069PP0085,200
0032PP0058,200
4004PP0833,200
0032PP0014,200
0132PP0025,200
0032PP0047,200
0113PP0003,199
0063PP0033,199
0045PP0065,199
0005PP0036,199
4073PP3169,199
4133PP2419,199
0032PP0048,199
0099PP0028,198
0005PP0021,198
0045PP0026,198
4045PP1098,198
0062PP0066,198
0004PP0065,198
0116PP0032,198
0044PP0009,198
0095PP0003,198
0117PP0045,197
0043PP0057,197
0116PP0014,197
0030PP0053,197
0098PP0003,197
0062PP0064,197
0032PP0068,197
0073PP0006,197
0125PP0003,197
0131PP0010,197
0085PP0074,197
0085PP0045,197
0004PP0052,196
0073PP0012,196
0004PP0032,196
0032PP0022,196
0123PP0008,196
0110PP0009,196
4004PP2583,195
0083PP0037,195
0124PP0001,195
0063PP0001,195
0032PP0053,194
0081PP0042,194
0069PP0093,194
0069PP0073,194
0043PP0031,194
0040PP0001,194
0045PP0003,194
0131PP0033,194
0069PP0182,194
0110PP0033,193
0085PP0028,193
0097PP0006,193
0114PP0007,193
0001PP0009,192
0096PP0018,192
0001PP0128,192
4073PP2210,192
0043PP0059,192
0073PP0054,192
0069PP0119,191
0001PP0018,191
0001PP0071,191
0069PP0215,191
0045PP0009,191
0030PP0001,191
0131PP0029,191
0096PP0023,191
0106PP0001,191
4069PP2775,190
0095PP0017,190
0081PP0002,190
0133PP0017,190
0095PP0021,190
0085PP0009,190
0069PP0189,190
0095PP0009,190
0114PP0003,189
0043PP0026,189
0001PP0022,189
0043PP0013,189
0073PP0045,189
4069PP3125,189
4069PP2427,188
0073PP0038,188
0001PP0033,188
0055PP0001,188
0085PP0060,188
0055PP0022,188
0073PP0044,188
0085PP0073,188
0001PP0089,187
0069PP0001,187
0085PP0025,187
0032PP0042,187
0117PP0034,187
0116PP0034,187
0022PP0003,187
4085PP0479,187
0061PP0002,187
0053PP0001,186
0062PP0014,186
4062PP0318,186
4062PP1182,186
0083PP0003,186
0111PP0052,186
0047PP0005,186
0062PP0037,186
0069PP0151,186
0085PP0082,186
0043PP0021,186
0067PP0009,185
4032PP2599,185
0005PP0025,185
0005PP0066,185
4043PP2915,185
0043PP0041,185
0062PP0051,185
0032PP0024,185
0119PP0032,185
0004PP0081,184
0097PP0034,184
0133PP0033,184
0097PP0049,184
0119PP0030,184
0083PP0026,184
0069PP0027,183
0055PP0011,183
0014PP0001,183
0044PP0024,183
0032PP0004,183
0073PP0077,183
0123PP0012,183
0047PP0036,183
0045PP0085,183
0111PP0043,183
0069PP0177,183
0119PP0055,182
0005PP0006,182
0045PP0006,182
0032PP0037,182
0111PP0057,182
0097PP0045,181
0069PP0140,181
0095PP0007,181
0045PP0051,181
0133PP0012,181
0055PP0038,181
0001PP0015,181
0133PP0015,181
0113PP0006,181
0009PP0004,181
0032PP0016,181
0044PP0005,181
0055PP0003,181
0055PP0044,180
0111PP0027,180
0008PP0024,180
0069PP0115,180
0111PP0046,180
0136PP0012,180
0004PP0011,180
0055PP0037,180
0099PP0016,180
0133PP0010,180
0030PP0009,180
0005PP0003,180
0119PP0024,180
0062PP0070,179
0075PP0001,179
0097PP0029,179
0085PP0083,179
0055PP0036,179
0004PP0069,179
0045PP0087,179
0057PP0001,178
0111PP0058,178
4131PP2309,178
0100PP0039,178
0066PP0027,178
4073PP1328,177
0131PP0036,177
0075PP0002,177
0069PP0083,177
0072PP0016,176
0052PP0001,176
0001PP0002,176
0001PP0046,176
4069PP2351,175
0135PP0016,175
0015PP0012,175
0004PP0027,174
0004PP0014,174
0047PP0007,174
0096PP0024,174
0069PP0131,174
0136PP0018,174
0063PP0007,174
0001PP0038,174
0043PP0060,174
0095PP0035,174
0004PP0026,173
0001PP0107,173
0132PP0011,173
0095PP0005,173
0004PP0079,173
0055PP0035,173
0119PP0036,173
0119PP0041,173
0062PP0096,173
0005PP0064,173
0131PP0006,173
0071PP0047,173
0075PP0019,172
0111PP0067,172
0085PP0046,172
0119PP0052,172
0069PP0118,172
0062PP0041,172
0032PP0051,172
3043PP0842,172
4111PP0959,171
0114PP0005,171
0136PP0003,171
0083PP0043,171
0119PP0047,171
0033PP0017,171
0062PP0091,171
0045PP0086,170
0004PP0041,170
0062PP0080,170
0043PP0001,170
0055PP0030,170
0133PP0002,170
0062PP0097,170
0132PP0035,170
0032PP0029,170
0085PP0013,169
0004PP0006,169
0119PP0020,169
0117PP0020,169
0073PP0025,169
0055PP0042,169
0116PP0004,168
4085PP0491,168
0062PP0030,168
0001PP0037,168
0027PP0002,168
4085PP2053,168
0061PP0037,168
0119PP0053,168
4069PP3472,168
0095PP0001,168
4069PP8518,168
0116PP0031,168
0030PP0051,168
0001PP0055,167
0053PP0012,167
0133PP0037,167
0119PP0040,167
0043PP0018,167
0069PP0166,167
0005PP0068,167
0136PP0007,167
0062PP0047,167
0119PP0026,167
0069PP0007,167
0047PP0028,166
0098PP0013,166
0133PP0013,166
0111PP0032,166
4132PP0240,166
0085PP0081,166
3043PP0839,165
4085PP0475,165
0130PP0003,165
0016PP0001,165
0005PP0035,165
4069PP2587,165
0111PP0064,165
0001PP0127,165
0119PP0029,165
0011PP0002,165
0133PP0009,164
4069PP2126,164
0001PP0079,164
4132PP5064,164
3043PP1667,164
0063PP0028,164
0005PP0050,164
0014PP0010,164
0073PP0013,164
0111PP0004,164
0031PP0004,164
4069PP3138,163
0130PP0015,163
0043PP0064,163
0004PP0058,163
0004PP0083,163
0045PP0084,163
0043PP0010,163
0015PP0018,163
0001PP0070,162
0069PP0181,162
4069PP2654,162
0001PP0043,162
0097PP0011,162
0077PP0080,162
0107PP0014,162
0117PP0052,161
0048PP0007,161
4045PP0233,161
0069PP0091,161
0055PP0024,161
0067PP0013,161
4119PP2326,160
0111PP0022,160
0092PP0018,160
3043PP1954,160
0062PP0034,160
4095PP0504,160
0078PP0011,160
0095PP0028,160
0004PP0029,160
0030PP0020,160
0092PP0001,160
0055PP0040,160
3043PP3669,160
0098PP0007,159
0043PP0054,159
0043PP0006,159
4071PP2381,159
0095PP0036,159
4062PP0967,159
0045PP0079,159
0136PP0017,159
0069PP0123,159
0124PP0005,158
0099PP0022,158
4032PP1746,158
0069PP0013,158
0100PP0058,158
0055PP0014,158
0069PP0153,158
0053PP0041,158
0069PP0116,157
0133PP0038,157
0078PP0008,157
4071PP3780,157
0070PP0003,157
0062PP0031,157
0008PP0030,157
0069PP0082,157
0102PP0002,157
0043PP0078,157
4132PP0912,157
0062PP0075,157
0083PP0006,157
0069PP0008,156
0133PP0035,156
4069PP2701,156
0071PP0060,156
0062PP0081,156
0069PP0112,156
0092PP0026,156
0136PP0011,156
0069PP0109,156
0043PP0023,156
4069PP0363,156
0043PP0043,155
4062PP6407,155
0074PP0001,155
0062PP0024,155
0063PP0011,155
0043PP0048,155
0073PP0058,155
0032PP0028,155
0114PP0002,155
0111PP0014,155
4069PP0362,155
4069PP1853,154
0111PP0072,154
0001PP0093,154
0085PP0066,154
4071PP0387,154
4133PP1118,154
0032PP0032,154
0098PP0047,154
0136PP0013,154
0071PP0048,154
0005PP0045,154
0135PP0018,153
4073PP1189,153
0133PP0018,153
0086PP0003,153
0073PP0028,152
0062PP0062,152
0007PP0028,152
0123PP0002,152
0004PP0047,152
0081PP0050,152
0001PP0120,152
0096PP0020,152
0028PP0023,152
4071PP5494,152
0111PP0062,151
0116PP0020,151
0098PP0043,151
4062PP1134,151
0005PP0009,151
4062PP2031,151
0095PP0006,151
0043PP0080,151
0004PP0050,151
4062PP1009,151
0111PP0050,151
0135PP0020,151
4069PP2432,151
0055PP0016,151
0071PP0061,150
4069PP3931,150
4131PP8183,150
4111PP0290,150
0123PP0015,150
0011PP0007,150
0062PP0076,150
0062PP0048,150
0069PP0190,150
0043PP0051,150
0005PP0018,150
0119PP0057,150
0069PP0147,150
0045PP0046,150
0110PP0006,150
0132PP0014,150
0131PP0024,149
0085PP0047,149
0043PP0028,149
4030PP3928,149
0097PP0048,149
0086PP0026,149
0004PP0015,149
0086PP0001,149
0093PP0001,149
0030PP0023,149
0069PP0087,149
0007PP0002,149
0085PP0040,149
0004PP0075,149
0130PP0009,148
0117PP0037,148
0098PP0010,148
0008PP0061,148
0078PP0014,148
0062PP0015,148
0012PP0002,148
0130PP0026,148
0119PP0018,148
0081PP0063,148
0085PP0067,148
0004PP0016,147
0131PP0037,147
0097PP0038,147
0081PP0008,147
0069PP0047,147
0102PP0036,147
0069PP0044,147
0111PP0030,147
0085PP0005,147
0117PP0017,147
0069PP0214,147
0069PP0162,147
4131PP3819,147
4083PP2637,147
0043PP0014,147
0001PP0129,147
0119PP0037,146
0097PP0044,146
0005PP0022,146
0069PP0043,146
0069PP0061,146
0114PP0009,146
0005PP0007,146
0028PP0033,146
0111PP0063,146
0028PP0006,146
4083PP3657,146
0001PP0092,145
4069PP2705,145
0098PP0004,145
0125PP0004,145
0004PP0071,145
4071PP1089,145
0069PP0102,144
0026PP0010,144
4132PP8495,144
0097PP0046,144
0096PP0001,144
0136PP0002,144
0111PP0013,144
0119PP0044,144
0102PP0037,144
0073PP0046,144
0113PP0007,144
4132PP2685,144
0069PP0098,143
0006PP0007,143
0032PP0066,143
0045PP0073,143
4069PP3470,143
0062PP0005,143
0133PP0041,143
0069PP0072,143
0041PP0001,143
0081PP0062,143
0001PP0031,143
0108PP0001,143
0069PP0060,143
0132PP0005,143
4004PP2094,142
0096PP0003,142
4131PP3427,142
0040PP0002,142
0102PP0068,142
0111PP0003,142
0004PP0077,142
0043PP0015,142
0007PP0017,142
0032PP0040,142
0100PP0026,142
0081PP0022,142
0008PP0011,142
0111PP0070,142
0030PA0022,142
4069PP1076,142
0102PP0021,141
0096PP0007,141
0062PP0008,141
4073PP0924,141
0119PP0008,141
0069PP0142,141
0110PP0053,141
4132PP5121,141
0005PP0037,141
0043PP0076,141
0076PP0003,141
0004PP0034,141
0031PP0011,141
4135PP0999,141
0047PP0023,141
0069PP0026,141
0005PP0028,141
0136PP0020,140
0135PP0006,140
4069PP2436,140
0043PP0042,140
0030PP0031,140
0014PP0008,140
4130PP8358,140
0001PP0017,139
0131PP0012,139
0012PP0006,139
0099PP0030,139
0007PP0067,139
0008PP0033,139
0031PP0001,139
0015PP0010,139
4069PP2383,139
4004PP3482,138
0135PP0022,138
0113PP0002,138
0066PP0030,138
0001PP0076,138
0071PP0022,138
0119PP0028,138
3096PP1335,138
0062PP0069,138
0059PP0064,138
0067PP0006,138
0100PP0055,138
0087PP0001,138
4069PP2631,138
0077PP0004,138
4069PP1208,137
3109PP0894,137
4032PP2580,137
